,nodeA,nodeB,weight
868,427,561,1
869,427,353,1
870,427,391,1
871,430,2487,1
872,430,1617,1
873,430,2593,1
874,430,1637,1
875,430,683,1
876,430,2033,1
877,430,1165,1
878,430,1792,1
879,430,2197,1
880,430,2137,1
881,430,223,1
882,430,1020,1
883,430,524,1
884,430,1698,1
885,430,381,1
886,430,1284,1
887,430,651,1
888,430,1207,1
889,430,2343,1
890,430,547,1
891,430,1568,1
892,430,632,1
893,430,2557,1
894,430,208,1
895,430,686,1
896,430,172,1
897,430,177,1
898,430,89,1
899,430,1270,1
900,430,119,1
901,430,52,1
902,430,236,1
903,2342,2593,1
904,2342,2577,1
905,2342,2197,1
906,2342,381,1
907,2342,497,1
908,2342,2151,1
909,2342,1270,1
910,1335,1024,1
911,1335,1478,1
912,1335,944,1
913,1335,1607,1
914,1335,1512,1
915,1335,1223,1
916,1335,885,1
917,1335,1270,1
918,1335,1032,1
919,1336,1478,1
920,1336,1027,1
921,1337,944,1
922,1337,1020,1
923,1337,1335,1
924,1337,2343,1
925,1337,2300,1
926,2343,2443,1
927,1339,434,1
928,1339,2677,1
929,1339,1335,1
930,1339,1111,1
931,1339,1570,1
932,1339,2443,1
933,438,79,1
934,438,550,1
935,438,96,1
936,438,21,1
937,438,607,1
938,438,227,1
939,438,296,1
940,438,616,1
941,438,710,1
942,438,692,1
943,438,720,1
944,438,391,1
945,289,2568,1
946,289,1498,1
947,289,1278,1
948,289,64,1
949,2276,1864,1
950,2692,1370,1
951,2692,2038,1
952,2692,2172,1
953,71,929,1
954,71,677,1
955,71,2442,1
956,71,1559,1
957,71,1923,1
958,71,661,1
959,71,1641,1
960,74,906,1
961,74,1024,1
962,74,1017,1
963,74,1103,1
964,74,871,1
965,74,949,1
966,74,1220,1
967,74,1634,1
968,74,680,1
969,74,604,1
970,74,2513,1
971,74,2266,1
972,74,154,1
973,74,975,1
974,74,2654,1
975,74,2284,1
976,74,2335,1
977,74,505,1
978,74,511,1
979,74,987,1
980,74,2013,1
981,74,252,1
982,74,345,1
983,74,1676,1
984,74,622,1
985,74,547,1
986,74,881,1
987,74,787,1
988,74,2390,1
989,74,1928,1
990,74,263,1
991,74,71,1
992,74,661,1
993,74,2124,1
994,74,310,1
995,74,377,1
996,74,19,1
997,74,867,1
998,76,869,1
999,76,1128,1
1000,76,131,1
1001,76,975,1
1002,76,694,1
1003,76,1934,1
1004,76,345,1
1005,76,181,1
1006,76,2532,1
1007,76,250,1
1008,76,2390,1
1009,76,661,1
1010,76,2327,1
1011,76,1548,1
1012,76,392,1
1013,76,518,1
1014,1151,1350,1
1015,294,83,1
1016,294,1353,1
1017,294,21,1
1018,294,502,1
1019,294,1438,1
1020,294,665,1
1021,294,103,1
1022,294,186,1
1023,294,173,1
1024,294,638,1
1025,294,554,1
1026,294,191,1
1027,294,1672,1
1028,294,807,1
1029,294,252,1
1030,294,699,1
1031,294,85,1
1032,294,633,1
1033,294,636,1
1034,294,2476,1
1035,294,2430,1
1036,294,465,1
1037,294,466,1
1038,294,477,1
1039,294,483,1
1040,294,564,1
1041,294,565,1
1042,294,566,1
1043,294,588,1
1044,294,128,1
1045,294,153,1
1046,294,277,1
1047,2246,2475,1
1048,1259,1944,1
1049,1259,2213,1
1050,1259,1081,1
1051,1259,1082,1
1052,1259,893,1
1053,1259,92,1
1054,1259,2312,1
1055,1259,521,1
1056,1259,136,1
1057,1269,1312,1
1058,1269,2618,1
1059,1269,876,1
1060,1269,1260,1
1061,591,2690,1
1062,591,2155,1
1063,591,287,1
1064,591,1186,1
1065,591,453,1
1066,591,549,1
1067,591,1358,1
1068,591,2475,1
1069,591,2182,1
1070,591,848,1
1071,591,199,1
1072,591,488,1
1073,591,1032,1
1074,591,1105,1
1075,2520,2359,1
1076,2637,2652,1
1077,70,1521,1
1078,70,1692,1
1079,70,255,1
1080,70,931,1
1081,70,999,1
1082,70,1986,1
1083,75,2122,1
1084,75,2299,1
1085,75,1854,1
1086,75,1855,1
1087,75,288,1
1088,1854,2122,1
1089,1854,1976,1
1090,1854,2048,1
1091,1854,2645,1
1092,1854,2299,1
1093,1854,2482,1
1094,1854,1855,1
1095,1855,2122,1
1096,1855,2482,1
1097,1855,1854,1
1098,1864,2122,1
1099,1864,1854,1
1100,1864,1855,1
1101,84,12,1
1102,84,715,1
1103,84,998,1
1104,84,155,1
1105,84,347,1
1106,84,1240,1
1107,84,27,1
1108,84,950,1
1109,84,1803,1
1110,84,1347,1
1111,84,1550,1
1112,1028,1435,1
1113,1028,1037,1
1114,1028,206,1
1115,1028,1042,1
1116,1028,1610,1
1117,359,203,1
1118,359,2376,1
1119,359,1787,1
1120,359,2567,1
1121,359,2505,1
1122,359,1871,1
1123,359,330,1
1124,359,1320,1
1125,359,2422,1
1126,359,2498,1
1127,359,2499,1
1128,359,2322,1
1129,359,808,1
1130,359,1342,1
1131,359,1068,1
1132,476,605,1
1133,476,1091,1
1134,476,1056,1
1135,2378,2050,1
1136,2378,2335,1
1137,2378,1668,1
1138,2378,611,1
1139,1621,300,1
1140,1621,1448,1
1141,1621,1194,1
1142,1621,594,1
1143,1621,824,1
1144,1935,2340,1
1145,1935,611,1
1146,2057,2465,1
1147,2057,2695,1
1148,2057,790,1
1149,2057,1510,1
1150,228,2465,1
1151,228,2617,1
1152,228,1692,1
1153,228,259,1
1154,228,900,1
1155,228,119,1
1156,228,323,1
1157,228,52,1
1158,456,1296,1
1159,456,2455,1
1160,456,2653,1
1161,456,2099,1
1162,456,1748,1
1163,1366,2513,1
1164,1366,2413,1
1165,1366,2414,1
1166,1366,2239,1
1167,1366,2562,1
1168,465,118,1
1169,465,2027,1
1170,465,103,1
1171,465,2672,1
1172,465,85,1
1173,465,2368,1
1174,465,466,1
1175,465,565,1
1176,465,566,1
1177,2368,2642,1
1178,466,16,1
1179,1378,1440,1
1180,1378,239,1
1181,1378,21,1
1182,1378,559,1
1183,1378,882,1
1184,1378,82,1
1185,1378,1540,1
1186,1378,970,1
1187,471,2,1
1188,471,1045,1
1189,471,103,1
1190,471,1632,1
1191,471,1859,1
1192,471,295,1
1193,477,1645,1
1194,477,1766,1
1195,477,463,1
1196,477,229,1
1197,477,2409,1
1198,477,2658,1
1199,477,427,1
1200,477,333,1
1201,483,463,1
1202,483,933,1
1203,483,749,1
1204,483,367,1
1205,483,650,1
1206,483,277,1
1207,562,1401,1
1208,562,2014,1
1209,562,2018,1
1210,562,252,1
1211,562,440,1
1212,562,1889,1
1213,562,60,1
1214,562,671,1
1215,562,370,1
1216,562,1117,1
1217,562,1183,1
1218,564,463,1
1219,565,478,1
1220,565,548,1
1221,565,1782,1
1222,565,2,1
1223,565,118,1
1224,565,1440,1
1225,565,2027,1
1226,565,305,1
1227,565,1401,1
1228,565,1585,1
1229,565,239,1
1230,565,425,1
1231,565,2442,1
1232,565,1012,1
1233,565,1376,1
1234,565,1616,1
1235,565,502,1
1236,565,1316,1
1237,565,644,1
1238,565,1438,1
1239,565,773,1
1240,565,385,1
1241,565,842,1
1242,565,1957,1
1243,565,1213,1
1244,565,103,1
1245,565,173,1
1246,565,910,1
1247,565,554,1
1248,565,1741,1
1249,565,882,1
1250,565,2672,1
1251,565,34,1
1252,565,1546,1
1253,565,283,1
1254,565,492,1
1255,565,85,1
1256,565,2118,1
1257,565,1859,1
1258,565,82,1
1259,565,1529,1
1260,565,410,1
1261,565,1727,1
1262,565,1540,1
1263,565,621,1
1264,565,633,1
1265,565,738,1
1266,565,57,1
1267,565,60,1
1268,565,2472,1
1269,565,2642,1
1270,565,1676,1
1271,565,244,1
1272,565,1975,1
1273,565,671,1
1274,565,333,1
1275,565,92,1
1276,565,691,1
1277,565,367,1
1278,565,1790,1
1279,565,465,1
1280,565,466,1
1281,565,1378,1
1282,565,477,1
1283,565,564,1
1284,565,566,1
1285,565,2480,1
1286,565,575,1
1287,565,2485,1
1288,565,2628,1
1289,565,2629,1
1290,565,128,1
1291,565,1373,1
1292,565,295,1
1293,565,601,1
1294,565,306,1
1295,566,1782,1
1296,566,472,1
1297,566,1544,1
1298,566,733,1
1299,566,16,1
1300,566,186,1
1301,566,1447,1
1302,566,173,1
1303,566,34,1
1304,566,2221,1
1305,566,699,1
1306,566,688,1
1307,566,2658,1
1308,566,633,1
1309,566,858,1
1310,566,1816,1
1311,566,671,1
1312,566,333,1
1313,566,466,1
1314,566,477,1
1315,566,483,1
1316,566,2480,1
1317,566,2485,1
1318,566,588,1
1319,566,1643,1
1320,566,274,1
1321,566,321,1
1322,566,449,1
1323,2480,653,1
1324,2480,2485,1
1325,567,21,1
1326,567,502,1
1327,567,385,1
1328,567,1828,1
1329,567,970,1
1330,567,277,1
1331,575,882,1
1332,575,1378,1
1333,575,2485,1
1334,2485,749,1
1335,2485,1816,1
1336,2485,1378,1
1337,1491,1390,1
1338,1491,851,1
1339,1491,1605,1
1340,1491,903,1
1341,2583,2310,1
1342,2583,1423,1
1343,2583,2333,1
1344,2583,1173,1
1345,2585,1809,1
1346,2585,2441,1
1347,2585,1830,1
1348,2585,1263,1
1349,686,683,1
1350,686,1273,1
1351,686,116,1
1352,686,225,1
1353,686,760,1
1354,686,223,1
1355,686,44,1
1356,686,1698,1
1357,686,381,1
1358,686,430,1
1359,686,2541,1
1360,686,2557,1
1361,686,119,1
1362,1626,1584,1
1363,1626,1407,1
1364,1626,1698,1
1365,1626,1735,1
1366,1626,1164,1
1367,2597,2256,1
1368,2597,1698,1
1369,690,445,1
1370,690,2457,1
1371,1643,773,1
1372,1643,1189,1
1373,1643,868,1
1374,1649,1228,1
1375,1649,1213,1
1376,1649,1687,1
1377,1649,868,1
1378,1649,691,1
1379,1649,1643,1
1380,1649,148,1
1381,1649,1557,1
1382,924,1480,1
1383,1061,1010,1
1384,1061,1578,1
1385,1061,1651,1
1386,1061,1244,1
1387,1174,1033,1
1388,1174,1074,1
1389,1174,1135,1
1390,1174,893,1
1391,1174,303,1
1392,1174,1297,1
1393,1174,1102,1
1394,1174,902,1
1395,1174,414,1
1396,318,445,1
1397,318,2310,1
1398,318,991,1
1399,318,2333,1
1400,318,686,1
1401,318,2427,1
1402,318,1173,1
1403,322,1027,1
1404,1195,1323,1
1405,1195,1630,1
1406,2180,2577,1
1407,2180,1500,1
1408,1203,1119,1
1409,1203,816,1
1410,1203,1630,1
1411,1203,881,1
1412,1203,779,1
1413,1203,542,1
1414,1203,1411,1
1415,1203,1195,1
1416,325,1201,1
1417,325,211,1
1418,1287,810,1
1419,1287,945,1
1420,1287,976,1
1421,1287,1414,1
1422,1287,1437,1
1423,1287,1397,1
1424,1287,787,1
1425,1287,499,1
1426,1287,905,1
1427,1288,1502,1
1428,1288,1128,1
1429,1288,1091,1
1430,1288,1414,1
1431,1288,787,1
1432,1288,499,1
1433,1288,107,1
1434,1288,108,1
1435,420,10,1
1436,420,2214,1
1437,420,192,1
1438,420,2590,1
1439,420,519,1
1440,420,439,1
1441,519,2608,1
1442,519,10,1
1443,519,190,1
1444,519,705,1
1445,519,510,1
1446,519,2223,1
1447,519,2549,1
1448,519,2590,1
1449,519,280,1
1450,2421,1829,1
1451,2421,2389,1
1452,2421,1856,1
1453,2421,2266,1
1454,2421,2654,1
1455,2421,345,1
1456,2421,263,1
1457,2421,2590,1
1458,2421,74,1
1459,2421,1868,1
1460,521,156,1
1461,521,2312,1
1462,2426,1686,1
1463,2426,2126,1
1464,2426,2282,1
1465,2426,2493,1
1466,2426,2431,1
1467,2426,1919,1
1468,2427,1888,1
1469,2427,2548,1
1470,2427,2591,1
1471,2427,2391,1
1472,2427,507,1
1473,1428,1622,1
1474,1428,2079,1
1475,1428,2617,1
1476,1428,2424,1
1477,1428,2229,1
1478,1428,1312,1
1479,1428,2539,1
1480,1428,2493,1
1481,1429,1208,1
1482,2431,2591,1
1483,1608,949,1
1484,1608,1220,1
1485,1608,987,1
1486,1608,2225,1
1487,1608,431,1
1488,1612,1517,1
1489,2586,2162,1
1490,2586,1647,1
1491,2586,1889,1
1492,2586,2486,1
1493,2586,2113,1
1494,122,1093,1
1495,122,124,1
1496,122,127,1
1497,122,2400,1
1498,124,2400,1
1499,1916,2400,1
1500,127,124,1
1501,127,2228,1
1502,127,2400,1
1503,295,1782,1
1504,295,197,1
1505,295,2078,1
1506,295,1012,1
1507,295,1316,1
1508,295,220,1
1509,295,210,1
1510,2150,2183,1
1511,2150,1192,1
1512,1281,1604,1
1513,1281,948,1
1514,1281,1471,1
1515,1281,1272,1
1516,1281,1282,1
1517,1281,1451,1
1518,1282,1494,1
1519,1282,1022,1
